[Header]
;Copyright 2014, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 0.0, ,4/20/2017 3:01:45 PM
BYAPP, Electrical Transport Option, Release 1.1.1 Build 7
INFO, APPNAME, ETOption, Release 1.1.1 Build 7
INFO,UCoGe_2nd_800_7days,SAMPLE1_NAME
INFO,UCoGe_600_800_7days,SAMPLE2_NAME
TITLE, Electrical Transport Option (CAN)
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 27, LINEAR, AUTO
STARTUPAXIS, Y4, 29, LINEAR, AUTO
TIMEMODE, SECONDS, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON,,AUTO_LINES
RECORDS, ALL_RECORDS
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

Ch. 1 Output voltage exceeded compliance limit.,3701858501.65119,50.018985748291,0.0976885557174683,,,0.067849,2.90122E-06,0.07236598,,,18.31055,0.98304,10,0,0.0006784849,0.0006784844,8.569429E-07,,,,,,3000,-53.99208,-6.707087,,,,,,,,,,,,,,,,,,,,,240500608,0,,,,,,,,,,,,,,,,
Ch. 1 Output voltage exceeded compliance limit.,3701858503.74149,50.0176658630371,0.0366332083940506,,,,,,,,,,,,,,,,,,,,,,,38.12774,0.0001427728,-0.008857043,,,21.3623,0.98304,10,0,0.381275,0.381275,-5.893924E-05,,,,,,3,-93.80535,-81.22603,240500608,0,,,,,,,,,,,,,,,,
Ch. 1 Output voltage exceeded compliance limit.,3701858505.71459,50.0173492431641,0.0732664167881012,,,0.06783362,3.353508E-06,0.07268212,,,18.31055,0.98304,10,0,0.0006783311,0.0006783306,8.604915E-07,,,,,,3000,-53.95239,-6.708696,,,,,,,,,,,,,,,,,,,,,240500608,0,,,,,,,,,,,,,,,,
Ch. 1 Output voltage exceeded compliance limit.,3701858507.71469,50.0158309936523,0.0976885557174683,,,,,,,,,,,,,,,,,,,,,,,38.12764,0.0001389984,-0.008906004,,,21.3623,0.98304,10,0,0.381274,0.381274,-5.926489E-05,,,,,,3,-93.80118,-81.2519,240500608,0,,,,,,,,,,,,,,,,
Ch. 1 Output voltage exceeded compliance limit.,3701858509.12562,50.0162582397461,0.0854774862527847,,,0.06782171,2.952978E-06,0.0722013,,,18.31055,0.98304,10,0,0.0006782121,0.0006782116,8.54649E-07,,,,,,3000,-53.95082,-6.709079,,,,,,,,,,,,,,,,,,,,,240500608,0,,,,,,,,,,,,,,,,
Ch. 1 Output voltage exceeded compliance limit.,3701858513.5766,50.0130043029785,0.0854774862527847,,,,,,,,,,,,,,,,,,,,,,,38.12738,0.0001204051,-0.007654117,,,21.3623,0.98304,10,0,0.3812714,0.3812714,-5.093388E-05,,,,,,3,-86.41684,-80.29469,139836800,0,,,,,,,,,,,,,,,,
Ch. 1 Output voltage exceeded compliance limit.,3701858597.25554,50.5125770568848,0.0366332083940506,,,0.07138272,3.718754E-06,0.07329886,,,18.31055,0.98304,10,0,0.0007138218,0.0007138213,9.131966E-07,,,,,,3000,-52.76491,-6.526525,,,,,,,,,,,,,,,,,,,,,240500608,0,,,,,,,,,,,,,,,,
Ch. 1 Output voltage exceeded compliance limit.,3701858599.47703,50.5111427307129,0.0122110694646835,,,,,,,,,,,,,,,,,,,,,,,38.15041,0.0001171289,-0.008733913,,,21.3623,0.98304,10,0,0.3815017,0.3815017,-5.815442E-05,,,,,,3,-94.03503,-81.16391,240500608,0,,,,,,,,,,,,,,,,
Ch. 1 Output voltage exceeded compliance limit.,3701858601.479,50.5097541809082,0.0488442778587341,,,0.07135297,3.28968E-06,0.07283536,,,18.31055,0.98304,10,0,0.0007135244,0.0007135238,9.07044E-07,,,,,,3000,-52.76018,-6.527352,,,,,,,,,,,,,,,,,,,,,240500608,0,,,,,,,,,,,,,,,,
