[Header]
;Copyright 2014, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 0.0, ,4/14/2017 6:05:32 PM
BYAPP, Electrical Transport Option, Release 1.1.1 Build 7
INFO, APPNAME, ETOption, Release 1.1.1 Build 7
TITLE, Electrical Transport Option (CAN)
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 27, LINEAR, AUTO
STARTUPAXIS, Y4, 29, LINEAR, AUTO
TIMEMODE, SECONDS, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON,,AUTO_LINES
RECORDS, ALL_RECORDS
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

,3701351039.23584,50.0563011169434,-0.188679158687592,,,,,,,,,,,,,,,,,,,,,,,0.560498,2.48237E-05,0.04313533,,,21.3623,0.98304,10,0,0.005604916,0.005604915,4.219681E-06,,,,,,300,-37.73151,-35.48455,402986368,0,,,,,,,,,,,,,,,,
,3701351040.0507,50.0554542541504,-0.193326443433762,,,,,,,,,,,,,,,,,,,,,,,0.5605237,3.352428E-05,0.04276849,,,21.3623,0.98304,10,0,0.005605173,0.005605172,4.183987E-06,,,,,,300,-37.73477,-35.47962,402986368,0,,,,,,,,,,,,,,,,
,3701351040.90844,50.0548210144043,-0.193326443433762,,,,,,,,,,,,,,,,,,,,,,,0.5605037,2.390494E-05,0.04296792,,,21.3623,0.98304,10,0,0.005604973,0.005604972,4.203346E-06,,,,,,300,-37.73503,-35.47892,402986368,0,,,,,,,,,,,,,,,,
,3701351113.91139,50.0823745727539,-0.19797371327877,,,,,,,,,,,,,,,,,,,,,,,0.5605448,3.721775E-05,0.04315441,,,21.3623,0.98304,10,0,0.005605384,0.005605382,4.2219E-06,,,,,,300,-37.73937,-35.49082,402986368,0,,,,,,,,,,,,,,,,
,3701351114.68935,50.0825042724609,-0.188679158687592,,,,,,,,,,,,,,,,,,,,,,,0.5605788,3.5692E-05,0.04314278,,,21.3623,0.98304,10,0,0.005605724,0.005605722,4.221017E-06,,,,,,300,-37.73236,-35.49316,402986368,0,,,,,,,,,,,,,,,,
,3701351115.43846,50.0834579467773,-0.184031918644905,,,,,,,,,,,,,,,,,,,,,,,0.5605953,1.992893E-05,0.0432017,,,21.3623,0.98304,10,0,0.005605889,0.005605888,4.226907E-06,,,,,,300,-37.73525,-35.49004,402986368,0,,,,,,,,,,,,,,,,
,3701351275.21115,51.0513763427734,-0.193326443433762,,,,,,,,,,,,,,,,,,,,,,,0.5626835,2.325168E-05,0.04329458,,,21.3623,0.98304,10,0,0.00562677,0.005626769,4.251773E-06,,,,,,300,-37.67807,-36.34905,402986368,0,,,,,,,,,,,,,,,,
,3701351276.04241,51.0501823425293,-0.193326443433762,,,,,,,,,,,,,,,,,,,,,,,0.5626706,1.983324E-05,0.04355998,,,21.3623,0.98304,10,0,0.005626642,0.005626641,4.277739E-06,,,,,,300,-37.68135,-36.34151,402986368,0,,,,,,,,,,,,,,,,
,3701351276.86913,51.0494155883789,-0.184031918644905,,,,,,,,,,,,,,,,,,,,,,,0.5627,2.232223E-05,0.0433854,,,21.3623,0.98304,10,0,0.005626936,0.005626934,4.260817E-06,,,,,,300,-37.67892,-36.34545,402986368,0,,,,,,,,,,,,,,,,
,3701351425.49657,52.0494003295898,-0.193326443433762,,,,,,,,,,,,,,,,,,,,,,,0.5651841,3.928809E-05,0.04328065,,,21.3623,0.98304,10,0,0.005651777,0.005651775,4.269294E-06,,,,,,300,-37.60438,-37.24591,402986368,0,,,,,,,,,,,,,,,,
,3701351426.28597,52.048095703125,-0.19797371327877,,,,,,,,,,,,,,,,,,,,,,,0.5651974,2.519219E-05,0.04311346,,,21.3623,0.98304,10,0,0.005651909,0.005651908,4.252902E-06,,,,,,300,-37.60379,-37.23934,402986368,0,,,,,,,,,,,,,,,,
,3701351427.12885,52.0475997924805,-0.19797371327877,,,,,,,,,,,,,,,,,,,,,,,0.5651566,3.27953E-05,0.04303305,,,21.3623,0.98304,10,0,0.005651501,0.0056515,4.244663E-06,,,,,,300,-37.61333,-37.24205,402986368,0,,,,,,,,,,,,,,,,
,3701351574.59558,53.0509338378906,-0.19797371327877,,,,,,,,,,,,,,,,,,,,,,,0.5680354,3.098909E-05,0.04336106,,,21.3623,0.98304,10,0,0.00568029,0.005680288,4.298804E-06,,,,,,300,-37.52299,-38.21011,402986368,0,,,,,,,,,,,,,,,,
,3701351575.44344,53.049186706543,-0.19797371327877,,,,,,,,,,,,,,,,,,,,,,,0.568059,2.376539E-05,0.0433605,,,21.3623,0.98304,10,0,0.005680526,0.005680524,4.298927E-06,,,,,,300,-37.52485,-38.20272,402986368,0,,,,,,,,,,,,,,,,
,3701351576.23871,53.0484046936035,-0.20262099802494,,,,,,,,,,,,,,,,,,,,,,,0.5680227,2.873811E-05,0.04319644,,,21.3623,0.98304,10,0,0.005680162,0.005680161,4.282388E-06,,,,,,300,-37.53025,-38.20182,402986368,0,,,,,,,,,,,,,,,,
,3701351723.08412,54.0514106750488,-0.188679158687592,,,,,,,,,,,,,,,,,,,,,,,0.5712113,2.301796E-05,0.04356054,,,21.3623,0.98304,10,0,0.005712049,0.005712047,4.342726E-06,,,,,,300,-37.43751,-39.30619,402986368,0,,,,,,,,,,,,,,,,
,3701351723.82952,54.049991607666,-0.184031918644905,,,,,,,,,,,,,,,,,,,,,,,0.5711924,1.567729E-05,0.04287111,,,21.3623,0.98304,10,0,0.005711859,0.005711858,4.273853E-06,,,,,,300,-37.44906,-39.30087,402986368,0,,,,,,,,,,,,,,,,
,3701351724.6713,54.049617767334,-0.188679158687592,,,,,,,,,,,,,,,,,,,,,,,0.5712153,2.962417E-05,0.04311391,,,21.3623,0.98304,10,0,0.005712088,0.005712087,4.29823E-06,,,,,,300,-37.4454,-39.29563,402986368,0,,,,,,,,,,,,,,,,
