[Header]
;Copyright 2014, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 0.0, ,4/25/2017 6:52:22 AM
BYAPP, Electrical Transport Option, Release 1.1.1 Build 7
INFO, APPNAME, ETOption, Release 1.1.1 Build 7
TITLE, Electrical Transport Option (CAN)
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 27, LINEAR, AUTO
STARTUPAXIS, Y4, 29, LINEAR, AUTO
TIMEMODE, SECONDS, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON,,AUTO_LINES
RECORDS, ALL_RECORDS
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

Ch. 2 Input voltage exceeded compliance limit.,3702261136.61635,2.58808255195618,0.146532833576202,,,,,,,,,,,,,,,,,,,,,,,,,-1.036411,,,21.3623,0.98304,1,0,5.596091,5.595176,-0.101221,,,,,,1,-69.0775,3.066598,135052416,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702261577.11617,49.9916496276855,-0.109899625182152,,,52.59296,8.318293E-05,-0.009538754,,,18.31055,0.98304,10,0,0.5259252,0.5259252,-8.755742E-05,,,,,,3,-97.68822,-71.96851,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702261579.62526,49.9939651489258,-0.0488442778587341,,,52.59312,0.0001023201,-0.009532519,,,18.31055,0.98304,10,0,0.5259268,0.5259268,-8.750046E-05,,,,,,3,-98.28966,-72.05084,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702261581.73932,49.9953842163086,-0.0976885557174683,,,52.59328,9.624765E-05,-0.009567723,,,18.31055,0.98304,10,0,0.5259284,0.5259284,-8.782388E-05,,,,,,3,-98.25471,-72.01777,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702261669.10971,50.5062828063965,-0.183166027069092,,,52.62894,0.000122496,-0.00944897,,,18.31055,0.98304,10,0,0.526285,0.526285,-8.679262E-05,,,,,,3,-98.2075,-72.0007,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702261669.82129,50.5061340332031,-0.158743903040886,,,52.62894,0.000122496,-0.00944897,,,18.31055,0.98304,10,0,0.526285,0.526285,-8.679262E-05,,,,,,3,-98.2075,-72.0007,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702261671.30589,50.5053329467773,-0.0488442778587341,,,52.62903,0.0001197552,-0.009502279,,,18.31055,0.98304,10,0,0.5262859,0.5262859,-8.728243E-05,,,,,,3,-99.21608,-72.04137,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702261746.63258,51.006404876709,-0.0976885557174683,,,52.66371,5.096411E-05,-0.009511104,,,18.31055,0.98304,10,0,0.5266327,0.5266327,-8.742106E-05,,,,,,3,-97.49884,-72.01762,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
Ch. 2 Input voltage exceeded compliance limit.,3702261747.35854,51.0055809020996,-0.122110687196255,,,52.66371,5.096411E-05,-0.009511104,,,18.31055,0.98304,10,0,0.5266327,0.5266327,-8.742106E-05,,,,,,3,-97.49884,-72.01762,,,,,,,,,,,,,,,,,,,,,34388864,0,,,,,,,,,,,,,,,,
